,Close,Predicted_Signal,Actual_Direction,Correct_Prediction,Next_Close,Price_Change,Return,Strategy_Return,Cumulative_Return
2116,28320.0,1,1,1,28713.71,393.7099999999991,0.013902189265536692,0.013902189265536692,7665759160.760603
2117,28713.71,1,1,1,29669.04,955.3300000000017,0.03327086607756371,0.03327086607756371,7920805607.181127
2118,29669.04,1,1,1,29909.8,240.7599999999984,0.008114856429463116,0.008114856429463116,7985081807.489087
2119,29909.8,1,1,1,29992.46,82.65999999999985,0.0027636426856749246,0.0027636426856749246,8007149720.420871
2120,29992.46,1,1,1,33069.99,3077.529999999999,0.10261012267749958,0.10261012267749958,8828764335.530363
2121,33069.99,1,1,1,33922.73,852.7400000000052,0.02578591647593499,0.02578591647593499,9056422115.272064
2122,33922.73,1,1,1,34496.05,573.3199999999997,0.016900762409157506,0.016900762409157506,9209482553.719316
2123,34496.05,0,0,1,34151.66,-344.3899999999994,-0.00998346187462041,-0.0,9209482553.719316
2124,34151.66,0,0,1,33892.02,-259.6400000000067,-0.0076025587043208635,-0.0,9209482553.719316
2125,33892.02,1,1,1,34081.0,188.9800000000032,0.005575943835746681,0.005575943835746681,9260834111.195145
2126,34081.0,0,1,0,34525.89,444.8899999999994,0.013053901000557479,0.0,9260834111.195145
2127,34525.89,1,0,0,34474.73,-51.15999999999622,-0.0014817865665445907,-0.0014817865665445907,9247111531.614178
2128,34474.73,0,1,0,34639.77,165.0399999999936,0.004787274621149857,0.0,9247111531.614178
2129,34639.77,1,1,1,35421.43,781.6600000000035,0.02256539232217776,0.02256539232217776,9455776231.171986
2130,35421.43,0,0,1,34941.59,-479.8400000000038,-0.01354660159118375,-0.0,9455776231.171986
2131,34941.59,0,0,1,34716.78,-224.80999999999767,-0.006433880083877056,-0.0,9455776231.171986
2132,34716.78,1,1,1,35062.07,345.2900000000009,0.009945910882288071,0.009945910882288071,9549822538.890081
2133,35062.07,0,0,1,35011.88,-50.19000000000233,-0.0014314614054447535,-0.0,9549822538.890081
2134,35011.88,1,1,1,35046.09,34.20999999999913,0.0009770969168179239,0.0009770969168179239,9559153641.048988
2135,35046.09,1,1,1,35399.12,353.0300000000061,0.010073306323187727,0.010073306323187727,9655445923.86569
2136,35399.12,1,1,1,35624.72,225.59999999999854,0.0063730397817798445,0.0063730397817798445,9716980464.84931
2137,35624.72,1,1,1,36701.09,1076.3699999999953,0.030214132209319688,0.030214132209319688,10010570597.289644
2138,36701.09,0,1,0,37301.63,600.5400000000009,0.016363001752809,0.0,10010570597.289644
2139,37301.63,0,0,1,37130.0,-171.62999999999738,-0.0046011394140148135,-0.0,10010570597.289644
2140,37130.0,0,0,1,37064.13,-65.87000000000262,-0.0017740371667116245,-0.0,10010570597.289644
2141,37064.13,0,0,1,36462.93,-601.1999999999971,-0.016220534516795542,-0.0,10010570597.289644
2142,36462.93,0,0,1,35551.19,-911.739999999998,-0.025004573137704458,-0.0,10010570597.289644
2143,35551.19,1,1,1,37858.2,2307.0099999999948,0.06489262384747162,0.06489262384747162,10660182789.55812
2144,37858.2,0,0,1,36163.51,-1694.689999999995,-0.04476414620874725,-0.0,10660182789.55812
2145,36163.51,0,1,0,36613.92,450.4099999999962,0.012454819789340033,0.0,10660182789.55812
2146,36613.92,0,0,1,36568.1,-45.81999999999971,-0.0012514366120863242,-0.0,10660182789.55812
2147,36568.1,1,1,1,37359.86,791.760000000002,0.021651658139197883,0.021651658139197883,10890993423.018993
2148,37359.86,1,1,1,37448.78,88.91999999999825,0.002380094572088821,0.002380094572088821,10916915017.349777
2149,37448.78,0,0,1,35741.65,-1707.1299999999974,-0.04558573069670087,-0.0,10916915017.349777
2150,35741.65,1,1,1,37408.34,1666.689999999995,0.04663159087507138,0.04663159087507138,11425988132.056755
2151,37408.34,1,0,0,37294.28,-114.05999999999767,-0.0030490526978742623,-0.0030490526978742623,11391149692.116829
2152,37294.28,1,1,1,37713.57,419.2900000000009,0.011242742854936491,0.011242742854936491,11519217458.927387
2153,37713.57,1,1,1,37780.67,67.09999999999854,0.0017792004310384444,0.0017792004310384444,11539712455.595535
2154,37780.67,0,0,1,37447.43,-333.23999999999796,-0.008820383545342049,-0.0,11539712455.595535
2155,37447.43,0,0,1,37242.7,-204.7300000000032,-0.005467130855174926,-0.0,11539712455.595535
2156,37242.7,1,1,1,37818.87,576.1700000000055,0.01547068284522888,0.01547068284522888,11718239687.121191
2157,37818.87,1,1,1,37854.64,35.7699999999968,0.0009458241348828454,0.0009458241348828454,11729323081.035612
2158,37854.64,0,0,1,37723.96,-130.6800000000003,-0.00345215276119388,-0.0,11729323081.035612
2159,37723.96,1,1,1,38682.52,958.5599999999977,0.025409845625962855,0.025409845625962855,12027363369.82177
2160,38682.52,1,1,1,39450.35,767.8300000000017,0.019849534104810176,0.019849534104810176,12266100929.22199
2161,39450.35,1,1,1,39972.26,521.9100000000035,0.013229540422328408,0.013229540422328408,12428375807.289492
2162,39972.26,1,1,1,41991.1,2018.8399999999965,0.05050602592898166,0.05050602592898166,13056083678.067581
2163,41991.1,1,1,1,44073.32,2082.220000000001,0.049587174425056765,0.049587174425056765,13703497976.720055
2164,44073.32,0,0,1,43762.69,-310.6299999999974,-0.007048028149456346,-0.0,13703497976.720055
2165,43762.69,0,0,1,43273.14,-489.5500000000029,-0.011186469570312128,-0.0,13703497976.720055
2166,43273.14,1,1,1,44170.99,897.8499999999985,0.020748436559029425,0.020748436559029425,13987824135.126818
2167,44170.99,0,0,1,43713.6,-457.3899999999994,-0.010354986383597005,-0.0,13987824135.126818
2168,43713.6,1,1,1,43789.51,75.91000000000349,0.001736530507668174,0.001736530507668174,14012114418.473364
2169,43789.51,0,0,1,41253.4,-2536.1100000000006,-0.057915925526456004,-0.0,14012114418.473364
2170,41253.4,1,1,1,41492.39,238.98999999999796,0.005793219467971076,0.005793219467971076,14093289672.509901
2171,41492.39,1,1,1,42869.03,1376.6399999999994,0.03317813218279302,0.03317813218279302,14560878700.154827
2172,42869.03,1,1,1,43022.26,153.2300000000032,0.0035743752541170914,0.0035743752541170914,14612924744.658861
2173,43022.26,0,0,1,41940.3,-1081.9599999999991,-0.02514884155318663,-0.0,14612924744.658861
2174,41940.3,1,1,1,42278.03,337.7299999999959,0.008052636724105357,0.008052636724105357,14730597319.10429
2175,42278.03,0,0,1,41374.65,-903.3799999999974,-0.02136759919986805,-0.0,14730597319.10429
2176,41374.65,1,1,1,42657.8,1283.1500000000015,0.031012951166958545,0.031012951166958545,15187436614.421803
2177,42657.8,0,0,1,42275.99,-381.81000000000495,-0.008950531907412124,-0.0,15187436614.421803
2178,42275.99,1,1,1,43668.93,1392.9400000000023,0.03294872574243684,0.03294872574243684,15687843298.16103
2179,43668.93,1,1,1,43861.8,192.87000000000262,0.0044166413053858345,0.0044166413053858345,15757130874.864109
